nohup: ignoring input
cali10 2018 12
cali11 2018 1
cali11 2018 2
cali11 2018 3
cali11 2018 4
cali11 2018 5
cali11 2018 6
cali11 2018 7
cali11 2018 8
cali11 2018 9
cali11 2018 10
cali11 2018 11
cali11 2018 12
cali12 2018 1
cali12 2018 2
cali12 2018 3
cali12 2018 4
cali12 2018 5
cali12 2018 6
cali12 2018 7
cali12 2018 8
cali12 2018 9
cali12 2018 10
cali12 2018 11
cali12 2018 12
wash1 2018 1
wash1 2018 2
wash1 2018 3
wash1 2018 4
wash1 2018 5
wash1 2018 6
wash1 2018 7
wash1 2018 8
wash1 2018 9
wash1 2018 10
wash1 2018 11
wash1 2018 12
wash2 2018 1
wash2 2018 2
wash2 2018 3
wash2 2018 4
wash2 2018 5
wash2 2018 6
wash2 2018 7
wash2 2018 8
wash2 2018 9
wash2 2018 10
wash2 2018 11
wash2 2018 12
wash3 2018 1
wash3 2018 2
wash3 2018 3
wash3 2018 4
wash3 2018 5
wash3 2018 6
wash3 2018 7
wash3 2018 8
wash3 2018 9
wash3 2018 10
wash3 2018 11
wash3 2018 12
wash4 2018 1
wash4 2018 2
wash4 2018 3
wash4 2018 4
wash4 2018 5
wash4 2018 6
wash4 2018 7
wash4 2018 8
wash4 2018 9
wash4 2018 10
wash4 2018 11
wash4 2018 12
wash5 2018 1
wash5 2018 2
wash5 2018 3
wash5 2018 4
wash5 2018 5
wash5 2018 6
wash5 2018 7
wash5 2018 8
wash5 2018 9
wash5 2018 10
wash5 2018 11
wash5 2018 12
wash6 2018 1
wash6 2018 2
wash6 2018 3
wash6 2018 4
wash6 2018 5
wash6 2018 6
wash6 2018 7
wash6 2018 8
wash6 2018 9
wash6 2018 10
wash6 2018 11
wash6 2018 12
wash7 2018 1
wash7 2018 2
wash7 2018 3
wash7 2018 4
wash7 2018 5
wash7 2018 6
wash7 2018 7
wash7 2018 8
wash7 2018 9
wash7 2018 10
wash7 2018 11
wash7 2018 12
wash8 2018 1
wash8 2018 2
wash8 2018 3
wash8 2018 4
wash8 2018 5
wash8 2018 6
wash8 2018 7
wash8 2018 8
wash8 2018 9
wash8 2018 10
wash8 2018 11
wash8 2018 12
wash9 2018 1
wash9 2018 2
wash9 2018 3
wash9 2018 4
wash9 2018 5
wash9 2018 6
wash9 2018 7
wash9 2018 8
wash9 2018 9
wash9 2018 10
wash9 2018 11
wash9 2018 12
ny1 2018 1
ny1 2018 2
ny1 2018 3
ny1 2018 4
ny1 2018 5
ny1 2018 6
ny1 2018 7
ny1 2018 8
ny1 2018 9
ny1 2018 10
ny1 2018 11
ny1 2018 12
ny2 2018 1
ny2 2018 2
ny2 2018 3
ny2 2018 4
ny2 2018 5
ny2 2018 6
ny2 2018 7
ny2 2018 8
ny2 2018 9
ny2 2018 10
